date,base_return,btc_return,btc_close,base_selected_symbol,signal_regime,signal_position,executed_regime,executed_position,strategy_return,equity,btc_fast_ma,btc_slow_ma,btc_risk_ma,btc_ret_lb,btc_vol,btc_trend_ok,risk_off,btc_led
2020-08-16,-0.005790934521698765,0.004944146333232036,11911.0,ALT,BASE,ALT,BTC,BTC,0.004944146333232036,2.6255131717740596,11521.206499999998,9811.575900000002,8910.130700000002,0.07987698958110467,0.028164834558415938,False,False,False
2020-08-17,0.00753902887804303,0.031074636890269458,12281.13,ALT,BTC,BTC,BASE,ALT,0.00753902887804303,2.6453069913957465,11589.949499999999,9838.9932,8923.970299999999,0.126061430718293,0.028397144285087855,True,False,True
2020-08-18,-0.04055992271057718,-0.02736881703882288,11945.01,ALT,BASE,ALT,BTC,BTC,-0.02736881703882288,2.572908068336717,11632.1735,9871.215600000001,8936.9309,0.07607564683848422,0.029173594709818194,False,False,False
2020-08-19,-0.003043059738900067,-0.015941384728853314,11754.59,ALT,BASE,ALT,BASE,ALT,-0.003043059738900067,2.5650785553820707,11664.922499999999,9903.1463,8948.7808,0.05900928050625187,0.0294115918322794,False,False,False
2020-08-20,0.029388862933547255,0.008418838938661244,11853.55,ALT,BASE,ALT,BASE,ALT,0.029388862933547255,2.6404632974599758,11690.827,9933.5739,8961.391,0.04570524707422541,0.0292563411707583,False,False,False
2020-08-21,-0.028312081262157007,-0.027182573996819448,11531.34,ALT,BASE,ALT,BASE,ALT,-0.028312081262157007,2.5657062860125457,11677.335500000001,9955.793599999999,8972.5865,-0.022864682061185415,0.029914256597445926,False,False,False
2020-08-22,-0.01721515154037967,0.01141411145625737,11662.96,ALT,BASE,ALT,BASE,ALT,-0.01721515154037967,2.521537263490735,11706.916000000001,9974.5034,8984.9162,0.053436121159569305,0.029923299306312028,False,False,False
2020-08-23,0.007074036881037582,-0.001271546845740712,11648.13,ALT,BASE,ALT,BASE,ALT,0.007074036881037582,2.539374711089579,11728.332,9997.8205,8995.09665,0.03817533451992494,0.02985481186967935,False,False,False
2020-08-24,0.013223476757196373,0.008591078567976362,11748.2,ALT,BASE,ALT,BASE,ALT,0.013223476757196373,2.572954073559484,11756.1435,10021.4898,9004.97765,0.04969902528330583,0.029799599895461038,False,False,False
2020-08-25,-0.03232607167955015,-0.03658262542346913,11318.42,ALT,BASE,ALT,BASE,ALT,-0.03232607167955015,2.4897805757494096,11734.819,10037.873599999999,9012.501100000001,-0.036312751651566444,0.03061358287679305,False,False,False
2020-08-26,-0.003786699865131138,0.012635155790295949,11461.43,ALT,BASE,ALT,BASE,ALT,-0.003786699865131138,2.480352523979013,11719.7675,10055.1486,9020.333,-0.025592435595955143,0.023571709381082627,False,False,False
2020-08-27,-0.0008070814891955047,-0.011434000818397072,11330.38,ALT,BASE,ALT,BASE,ALT,-0.0008070814891955047,2.47835067737023,11706.575,10070.697100000001,9026.22615,-0.02275700930549074,0.023575716179590457,False,False,False
2020-08-28,0.032413559498684075,0.017345402360732898,11526.91,ALT,BASE,ALT,BASE,ALT,0.032413559498684075,2.558682844509774,11694.85,10090.8519,9034.60155,-0.019938085654696125,0.02356514130440651,False,False,False
2020-08-29,0.021906468465285434,-0.005298037375150777,11465.84,ALT,BASE,ALT,BASE,ALT,0.021906468465285434,2.614734549555694,11684.058,10114.8238,9040.815349999999,-0.018476794433677335,0.02359566701719767,False,False,False
2020-08-30,0.0011854486182114599,0.021395728529266078,11711.16,ALT,BASE,ALT,BASE,ALT,0.0011854486182114599,2.617834183014455,11674.97,10140.2354,9047.73885,-0.015283042347884357,0.023599817498199407,False,False,False
2020-08-31,0.09435358543624672,-0.005264209523223928,11649.51,ALT,BASE,ALT,BASE,ALT,0.09435358543624672,2.8648362242594363,11687.841499999999,10164.939,9054.83825,0.022597278109002028,0.022437729983848766,False,False,False
2020-09-01,0.05944008655666755,0.023388108169356325,11921.97,ALT,BASE,ALT,BASE,ALT,0.05944008655666755,3.035122337400094,11705.7235,10196.9553,9062.7263,0.030926132339703205,0.01967568765437057,False,False,False
2020-09-02,-0.059849790429990946,-0.044743444246210906,11388.54,ALT,BASE,ALT,BASE,ALT,-0.059849790429990946,2.853470901577314,11686.1505,10221.8372,9070.145400000001,-0.03323089983022065,0.021317669836203777,False,False,False
