date,live_strategy_index,live_strategy_exposure_x,live_strategy_return_net,live_strategy_vs_btc_return,live_strategy_source,strategy_execution_index,model_index,btc_index,strategy_execution_exposure_x,strategy_execution_return_net,strategy_execution_vs_btc_return,strategy_execution_source,model_authorized_exposure_x,model_authorized_return_net,model_authorized_return_gross,model_transition_cost,model_asset_transition_day,real_account_index,real_account_exposure_x,real_account_return_net,real_account_vs_btc_return,real_account_source,chart_scope
2018-07-24,1.0,0.0,0.0,-0.0875831012,pre_live,1.0,1.0,0.8513017032,0.0,0.0,-0.0875831012,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0875831012,real_account_flat_no_history,real_account_flat_no_history
2018-07-25,1.0,0.0,0.0,0.0263896233,pre_live,1.0,1.0,0.8288361719,0.0,0.0,0.0263896233,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0263896233,real_account_flat_no_history,real_account_flat_no_history
2018-07-26,1.0,0.0,0.0,0.0312685001,pre_live,1.0,1.0,0.802919708,0.0,0.0,0.0312685001,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0312685001,real_account_flat_no_history,real_account_flat_no_history
2018-07-27,1.0,0.0,0.0,-0.0339103535,pre_live,1.0,1.0,0.8301469992,0.0,0.0,-0.0339103535,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0339103535,real_account_flat_no_history,real_account_flat_no_history
2018-07-28,1.0,0.0,0.0,-0.0044537691,pre_live,1.0,1.0,0.8338442822,0.0,0.0,-0.0044537691,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0044537691,real_account_flat_no_history,real_account_flat_no_history
2018-07-29,1.0,0.0,0.0,0.0017069826,pre_live,1.0,1.0,0.8324209246,0.0,0.0,0.0017069826,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0017069826,real_account_flat_no_history,real_account_flat_no_history
2018-07-30,1.0,0.0,0.0,0.0045158933,pre_live,1.0,1.0,0.8286618005,0.0,0.0,0.0045158933,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0045158933,real_account_flat_no_history,real_account_flat_no_history
2018-07-31,1.0,0.0,0.0,0.054195539,pre_live,1.0,1.0,0.7837520276,0.0,0.0,0.054195539,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.054195539,real_account_flat_no_history,real_account_flat_no_history
2018-08-01,1.0,0.0,0.0,0.0163434412,pre_live,1.0,1.0,0.7709428224,0.0,0.0,0.0163434412,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0163434412,real_account_flat_no_history,real_account_flat_no_history
2018-08-02,1.0,0.0,0.0,0.0103713815,pre_live,1.0,1.0,0.7629470803,0.0,0.0,0.0103713815,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0103713815,real_account_flat_no_history,real_account_flat_no_history
2018-08-03,1.0,0.0,0.0,0.0142086262,pre_live,1.0,1.0,0.7521066504,0.0,0.0,0.0142086262,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0142086262,real_account_flat_no_history,real_account_flat_no_history
2018-08-04,1.0,0.0,0.0,0.0551222708,pre_live,1.0,1.0,0.710648824,0.0,0.0,0.0551222708,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0551222708,real_account_flat_no_history,real_account_flat_no_history
2018-08-05,1.0,0.0,0.0,-0.0020471223,pre_live,1.0,1.0,0.7121036091,0.0,0.0,-0.0020471223,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0020471223,real_account_flat_no_history,real_account_flat_no_history
2018-08-06,1.0,0.0,0.0,0.0127231752,pre_live,1.0,1.0,0.7030433901,0.0,0.0,0.0127231752,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0127231752,real_account_flat_no_history,real_account_flat_no_history
2018-08-07,1.0,0.0,0.0,0.0309683597,pre_live,1.0,1.0,0.6812712895,0.0,0.0,0.0309683597,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0309683597,real_account_flat_no_history,real_account_flat_no_history
2018-08-08,1.0,0.0,0.0,0.0647404934,pre_live,1.0,1.0,0.6371654501,0.0,0.0,0.0647404934,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0647404934,real_account_flat_no_history,real_account_flat_no_history
