profile,decision_date,period_start,period_end,incumbent_asset_before,incumbent_hold_periods_before,selected_asset,selected,keep_reason,best_passed_asset,best_passed_score
phase67b_top100_pruned_soft_filters,2020-02-09,2020-02-10,2020-02-15,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-02-16,2020-02-17,2020-02-22,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-02-23,2020-02-24,2020-02-29,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-03-01,2020-03-02,2020-03-07,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-03-08,2020-03-09,2020-03-14,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-03-15,2020-03-16,2020-03-21,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-03-22,2020-03-23,2020-03-28,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-03-29,2020-03-30,2020-04-04,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-04-05,2020-04-06,2020-04-11,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-04-12,2020-04-13,2020-04-18,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-04-19,2020-04-20,2020-04-25,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-04-26,2020-04-27,2020-05-02,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-05-03,2020-05-04,2020-05-09,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-05-10,2020-05-11,2020-05-16,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-05-17,2020-05-18,2020-05-23,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-05-24,2020-05-25,2020-05-30,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-05-31,2020-06-01,2020-06-06,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-06-07,2020-06-08,2020-06-13,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-06-14,2020-06-15,2020-06-20,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-06-21,2020-06-22,2020-06-27,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-06-28,2020-06-29,2020-07-04,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-07-05,2020-07-06,2020-07-11,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-07-12,2020-07-13,2020-07-18,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-07-19,2020-07-20,2020-07-25,,0,LINK,True,best_passed,LINK,5.319431758961162
phase67b_top100_pruned_soft_filters,2020-07-26,2020-07-27,2020-08-01,LINK,1,LINK,True,min_hold,LINK,6.598223669314665
phase67b_top100_pruned_soft_filters,2020-08-02,2020-08-03,2020-08-08,LINK,2,LINK,True,min_hold,LINK,7.641743953216293
phase67b_top100_pruned_soft_filters,2020-08-09,2020-08-10,2020-08-15,LINK,3,LINK,True,incumbent_best,LINK,5.927971930342105
phase67b_top100_pruned_soft_filters,2020-08-16,2020-08-17,2020-08-22,LINK,4,LINK,True,incumbent_best,LINK,6.010251333501104
phase67b_top100_pruned_soft_filters,2020-08-23,2020-08-24,2020-08-29,LINK,5,LINK,True,incumbent_best,LINK,5.638856159022092
phase67b_top100_pruned_soft_filters,2020-08-30,2020-08-31,2020-09-05,LINK,6,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-09-06,2020-09-07,2020-09-12,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-09-13,2020-09-14,2020-09-19,,0,,False,best_passed,,
