start_ts,end_ts,selected_mode,bars,days,sum_selected_ret_next,sum_best_available_next,sum_leader_gap_ret,compound_selected_ret_next,compound_best_available_next,compound_gap_approx,pain_bars_gt_2pct_gap,turnover_sum,cost_sum
2021-12-02,2021-12-02,TRXUSDT,1,1,-0.03712820512820514,0.005010205975134463,0.0421384111033396,-0.03712820512820514,0.005010205975134463,0.0421384111033396,1,1.0,0.0015
2021-11-23,2021-11-24,ETHUSDT,2,2,0.04369314379941791,0.08131642000189554,0.03762327620247763,0.04272671128071859,0.08120453391981042,0.03847782263909183,1,0.0,0.0
2020-12-08,2020-12-08,BTCUSDT,1,1,0.01185159879524833,0.04787535410764887,0.03602375531240054,0.01185159879524833,0.04787535410764887,0.03602375531240054,1,0.0,0.0
2019-07-04,2019-07-04,BNBUSDT,1,1,-0.016083992166533556,0.01787424194063214,0.0339582341071657,-0.016083992166533556,0.01787424194063214,0.0339582341071657,1,1.0,0.0015
2025-10-03,2025-10-03,BNBUSDT,1,1,-0.03249537581974116,0.0013008050265068682,0.033796180846248025,-0.03249537581974116,0.0013008050265068682,0.033796180846248025,1,0.0,0.0
2023-02-25,2023-02-26,LTCUSDT,2,2,0.010163210461371364,0.04092612126185413,0.030762910800482768,0.00987654320987641,0.04098857968944203,0.03111203647956562,0,0.0,0.0
2024-10-21,2024-10-22,TRXUSDT,2,2,0.011994949494949392,0.041655479709870935,0.029660530214921543,0.011994949494949392,0.04208738244268506,0.03009243294773567,0,0.0,0.0
2020-11-03,2020-11-03,BTCUSDT,1,1,0.008591274807412841,0.03766628854284826,0.029075013735435418,0.008591274807412841,0.03766628854284826,0.029075013735435418,1,0.0,0.0
2019-06-14,2019-06-14,BTCUSDT,1,1,0.018346820809248543,0.04196969696969699,0.023622876160448447,0.018346820809248543,0.04196969696969699,0.023622876160448447,1,0.0,0.0
2024-06-06,2024-06-06,BNBUSDT,1,1,-0.03824521934758163,-0.018381392107326477,0.01986382724025515,-0.03824521934758163,-0.018381392107326477,0.01986382724025515,0,0.0,0.0
2025-09-27,2025-09-27,BNBUSDT,1,1,0.02536011151840567,0.04418928322894922,0.018829171710543546,0.02536011151840567,0.04418928322894922,0.018829171710543546,0,0.0,0.0
2025-10-05,2025-10-05,BNBUSDT,1,1,0.047807911733968256,0.06386066763425235,0.0160527559002841,0.047807911733968256,0.06386066763425235,0.0160527559002841,0,0.0,0.0
2021-03-23,2021-03-23,BTCUSDT,1,1,-0.03749000062383956,-0.02717010497736283,0.010319895646476729,-0.03749000062383956,-0.02717010497736283,0.010319895646476729,0,1.0,0.0015
2020-09-19,2020-09-19,BTCUSDT,1,1,-0.014472977668277487,-0.006164653596645198,0.00830832407163229,-0.014472977668277487,-0.006164653596645198,0.00830832407163229,0,0.0,0.0
2019-05-07,2019-05-07,BTCUSDT,1,1,0.024109100736529054,0.02851153039832277,0.004402429661793716,0.024109100736529054,0.02851153039832277,0.004402429661793716,0,0.0,0.0
2020-06-18,2020-06-18,LINKUSDT,1,1,-0.010503440782325235,-0.0071617497456765156,0.0033416910366487196,-0.010503440782325235,-0.0071617497456765156,0.0033416910366487196,0,0.0,0.0
2024-06-04,2024-06-04,BNBUSDT,1,1,0.01910456467843069,0.021398684997011364,0.0022941203185806724,0.01910456467843069,0.021398684997011364,0.0022941203185806724,0,0.0,0.0
2023-03-17,2023-03-17,BTCUSDT,1,1,-0.017800244057976755,-0.015534491837809417,0.0022657522201673386,-0.017800244057976755,-0.015534491837809417,0.0022657522201673386,0,1.0,0.0015
