ts,selected,n_selected,gross_exposure,raw_strategy_ret,turnover,cost,strategy_ret,selected_ret_next,best_available_next,captured_spike_day,available_spike_day,equity
2020-11-23,ETHUSDT,1,1.0,-0.005931841335568011,2.0,0.003,-0.00893184133556801,-0.005931841335568011,0.15597774460578107,0,1,3.8491602709862964
2020-11-24,ETHUSDT,1,1.0,-0.05863100649618991,0.0,0.0,-0.05863100649618991,-0.05863100649618991,-0.023011470244535204,0,0,3.6234801301332227
2020-11-25,ETHUSDT,1,1.0,-0.08721685689201042,0.0,0.0,-0.08721685689201042,-0.08721685689201042,-0.08385227716488652,0,0,3.3074515821723502
2020-11-26,CASH,0,0.0,0.0,1.0,0.0015,-0.0015,0.0,0.04801133186714868,0,0,3.3024904047990917
2020-11-27,BTCUSDT,1,1.0,0.033859174585985974,1.0,0.0015,0.03235917458598597,0.033859174585985974,0.16299901255466231,0,1,3.409356268376529
2020-11-28,BTCUSDT,1,1.0,0.02624965786956457,0.0,0.0,0.02624965786956457,0.02624965786956457,0.08541953232462163,0,0,3.498850703976868
2020-11-29,BTCUSDT,1,1.0,0.08308390601259585,0.0,0.0,0.08308390601259585,0.08308390601259585,0.11075909263718176,0,1,3.789548887018187
2020-11-30,BTCUSDT,1,1.0,-0.047264223413334916,0.0,0.0,-0.047264223413334916,-0.047264223413334916,-0.02932116371933835,0,0,3.6104388017864046
2020-12-01,BTCUSDT,1,1.0,0.023401595313818913,0.0,0.0,0.023401595313818913,0.023401595313818913,0.04748952877619694,0,0,3.6949288295311193
2020-12-02,BTCUSDT,1,1.0,0.011341854781976135,0.0,0.0,0.011341854781976135,0.011341854781976135,0.03490059955822011,0,0,3.7368361757453985
2020-12-03,BTCUSDT,1,1.0,-0.03971702047688441,0.0,0.0,-0.03971702047688441,-0.03971702047688441,-0.03971702047688441,0,0,3.588420176834556
2020-12-04,BTCUSDT,1,1.0,0.026655557056854073,0.0,0.0,0.026655557056854073,0.026655557056854073,0.08199715851430889,0,0,3.684071515602136
2020-12-05,BTCUSDT,1,1.0,0.011058270305614348,0.0,0.0,0.011058270305614348,0.011058270305614348,0.06134969325153383,0,0,3.724810974246879
2020-12-06,BTCUSDT,1,1.0,-0.009943489984193699,0.0,0.0,-0.009943489984193699,-0.009943489984193699,-0.0021543985637342278,0,0,3.68777335363144
2020-12-07,BTCUSDT,1,1.0,-0.04397111687335986,0.0,0.0,-0.04397111687335986,-0.04397111687335986,-0.04397111687335986,0,0,3.5256178404964498
2020-12-08,BTCUSDT,1,1.0,0.01185159879524833,0.0,0.0,0.01185159879524833,0.01185159879524833,0.04787535410764887,0,0,3.5674020486473834
2020-12-09,BTCUSDT,1,1.0,-0.015460097684733665,0.0,0.0,-0.015460097684733665,-0.015460097684733665,-0.015460097684733665,0,0,3.512249664494576
2020-12-10,BTCUSDT,1,1.0,-0.011947653828097482,0.0,0.0,-0.011947653828097482,-0.011947653828097482,-0.010018361627420092,0,0,3.470286521345343
2020-12-11,BTCUSDT,1,1.0,0.04281089544385752,0.0,0.0,0.04281089544385752,0.04281089544385752,0.061911357340720174,0,0,3.6188525947708867
2020-12-12,BTCUSDT,1,1.0,0.019475040526480303,0.0,0.0,0.019475040526480303,0.019475040526480303,0.07317073170731714,0,0,3.689329895713408
2020-12-13,BTCUSDT,1,1.0,0.005118646737234167,0.0,0.0,0.005118646737234167,0.005118646737234167,0.030572504219135377,0,0,3.708214272146682
2020-12-14,CASH,0,0.0,0.0,1.0,0.0015,-0.0015,0.0,0.007953556088940328,0,0,3.702651950738462
2020-12-15,BTCUSDT,1,1.0,0.098272816981813,1.0,0.0015,0.096772816981813,0.098272816981813,0.2168700446648002,0,1,4.060968010314628
2020-12-16,BTCUSDT,1,1.0,0.06850735299631783,0.0,0.0,0.06850735299631783,0.06850735299631783,0.08884533247520698,0,0,4.339174179304007
2020-12-17,BTCUSDT,1,1.0,0.013608274013078736,0.0,0.0,0.013608274013078736,0.013608274013078736,0.08246708246708234,0,0,4.3982228505264525
2020-12-18,BTCUSDT,1,1.0,0.030908726602182357,0.0,0.0,0.030908726602182357,0.030908726602182357,0.09612218767148328,0,0,4.534166318148846
2020-12-19,BTCUSDT,1,1.0,-0.015367978906547508,0.0,0.0,-0.015367978906547508,-0.015367978906547508,0.18044844875416777,0,1,4.464485345812756
2020-12-20,BTCUSDT,1,1.0,-0.03137044073207507,0.0,0.0,-0.03137044073207507,-0.03137044073207507,0.03024945559604153,0,0,4.3244324728727195
2020-12-21,BTCUSDT,1,1.0,0.04802350029995983,0.0,0.0,0.04802350029995983,0.04802350029995983,0.09449497367161319,0,0,4.532106857030879
2020-12-22,BTCUSDT,1,1.0,-0.024275969003968445,0.0,0.0,-0.024275969003968445,-0.024275969003968445,-0.024275969003968445,0,0,4.4220855714469245
2020-12-23,BTCUSDT,1,1.0,0.021368102627496777,0.0,0.0,0.021368102627496777,0.021368102627496777,0.299923224568138,0,1,4.516577149765175
2020-12-24,BTCUSDT,1,1.0,0.04143713230955948,0.0,0.0,0.04143713230955948,0.04143713230955948,0.149824529829929,0,1,4.703731154706328
2020-12-25,BTCUSDT,1,1.0,0.07206564135434457,0.0,0.0,0.07206564135434457,0.07206564135434457,0.07206564135434457,0,0,5.042708557128651
2020-12-26,BTCUSDT,1,1.0,-0.007991804748278653,0.0,0.0,-0.007991804748278653,-0.007991804748278653,0.10684005864728752,0,1,5.002408214937605
2020-12-27,BTCUSDT,1,1.0,0.03035386653658856,0.0,0.0,0.03035386653658856,0.03035386653658856,0.139652162668908,0,1,5.154250646255355
2020-12-28,BTCUSDT,1,1.0,0.011284957833276321,0.0,0.0,0.011284957833276321,0.011284957833276321,0.08666518316597571,0,0,5.212416147460484
2020-12-29,BTCUSDT,1,1.0,0.05442906700748584,0.0,0.0,0.05442906700748584,0.05442906700748584,0.05442906700748584,0,0,5.496123095221511
2020-12-30,BTCUSDT,1,1.0,0.0016654233998740775,0.0,0.0,0.0016654233998740775,0.0016654233998740775,0.03884000378465324,0,0,5.505276467232882
2020-12-31,BTCUSDT,1,1.0,0.014108187665241134,0.0,0.0,0.014108187665241134,0.014108187665241134,0.21603973538290266,0,1,5.582945940781639
2021-01-01,BTCUSDT,1,1.0,0.09704998245924479,0.0,0.0,0.09704998245924479,0.09704998245924479,0.8532394366197182,0,1,6.124770746405408
2021-01-02,BTCUSDT,1,1.0,0.025536440206810118,0.0,0.0,0.025536440206810118,0.025536440206810118,0.26301384011567874,0,1,6.2811755883514095
2021-01-03,CASH,0,0.0,0.0,1.0,0.0015,-0.0015,0.0,0.0927965073975261,0,0,6.271753824968883
2021-01-04,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14848188920454541,0,1,6.271753824968883
2021-01-05,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2874038573029798,0,1,6.271753824968883
2021-01-06,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3031705158123441,0,1,6.271753824968883
2021-01-07,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029177364331963496,0,0,6.271753824968883
2021-01-08,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1517249525859523,0,1,6.271753824968883
2021-01-09,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017045454545454586,0,0,6.271753824968883
2021-01-10,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07196719687171849,0,0,6.271753824968883
2021-01-11,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04780558578164684,0,0,6.271753824968883
2021-01-12,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14106906304822608,0,1,6.271753824968883
2021-01-13,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.12831647380707345,0,1,6.271753824968883
2021-01-14,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15333919156414777,0,1,6.271753824968883
2021-01-15,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1617530144428252,0,1,6.271753824968883
2021-01-16,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1579923801565748,0,1,6.271753824968883
2021-01-17,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06414565826330532,0,0,6.271753824968883
2021-01-18,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08495371290079046,0,0,6.271753824968883
2021-01-19,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06287793653341889,0,0,6.271753824968883
2021-01-20,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09265716510376121,0,0,6.271753824968883
2021-01-21,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1705418778072878,0,1,6.271753824968883
2021-01-22,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509240484597647,0,1,6.271753824968883
2021-01-23,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1288180933852141,0,1,6.271753824968883
