ts,selected,market_score,best_symbol_raw,best_score_raw,prev_selected,prev_score_raw
2019-04-18,BTCUSDT,34.72931211607702,BTCUSDT,58.76641005373204,BTCUSDT,58.76641005373204
2019-04-19,BTCUSDT,33.51728806103277,BTCUSDT,58.51930848115847,BTCUSDT,58.51930848115847
2019-04-20,BTCUSDT,32.164012989886245,BTCUSDT,59.40900810019513,BTCUSDT,59.40900810019513
2019-04-21,BTCUSDT,26.281164590794308,BTCUSDT,68.72459800601091,BTCUSDT,68.72459800601091
2019-04-22,BTCUSDT,23.22655882869827,BTCUSDT,66.11414476899782,BTCUSDT,66.11414476899782
2019-04-23,BTCUSDT,21.23887340854097,BTCUSDT,67.74330181708387,BTCUSDT,67.74330181708387
2019-04-24,BTCUSDT,18.605706202626042,BTCUSDT,65.23671653794948,BTCUSDT,65.23671653794948
2019-04-25,BTCUSDT,13.641432741674729,BTCUSDT,55.78640963225679,BTCUSDT,55.78640963225679
2019-04-26,BTCUSDT,15.811862266960977,BTCUSDT,59.51522478661501,BTCUSDT,59.51522478661501
2019-04-27,BTCUSDT,15.254202778192864,BTCUSDT,57.1882566759495,BTCUSDT,57.1882566759495
2019-04-28,BTCUSDT,14.94151152752754,BTCUSDT,56.99056254215154,BTCUSDT,56.99056254215154
2019-04-29,BTCUSDT,11.027820838655828,BTCUSDT,55.39736120212706,BTCUSDT,55.39736120212706
2019-04-30,BTCUSDT,17.165006218852557,BTCUSDT,57.585330141288296,BTCUSDT,57.585330141288296
2019-05-01,BTCUSDT,16.40738041390391,BTCUSDT,64.32018674810577,BTCUSDT,64.32018674810577
2019-05-02,BTCUSDT,18.637249761953708,BTCUSDT,68.49484246742414,BTCUSDT,68.49484246742414
2019-05-03,BTCUSDT,21.414713228636174,BTCUSDT,73.57536051808776,BTCUSDT,73.57536051808776
2019-05-04,BTCUSDT,19.208545881923857,BTCUSDT,74.85309023368397,BTCUSDT,74.85309023368397
2019-05-05,BTCUSDT,17.958236602723797,BTCUSDT,73.8645773683268,BTCUSDT,73.8645773683268
2019-05-06,BTCUSDT,20.588832174511122,BTCUSDT,72.32761137467227,BTCUSDT,72.32761137467227
2019-05-07,BTCUSDT,17.68470625789512,BTCUSDT,84.12588331767213,BTCUSDT,84.12588331767213
2019-05-08,BTCUSDT,19.509931281172744,BTCUSDT,87.9550102436397,BTCUSDT,87.9550102436397
2019-05-09,BTCUSDT,18.512561246832167,BTCUSDT,90.20267909488405,BTCUSDT,90.20267909488405
2019-05-10,BTCUSDT,20.547497065734543,BTCUSDT,90.67218029419747,BTCUSDT,90.67218029419747
2019-05-11,BTCUSDT,29.270588098924925,BTCUSDT,94.74052317179273,BTCUSDT,94.74052317179273
2019-05-12,BTCUSDT,26.71987971300025,BTCUSDT,92.91844374768021,BTCUSDT,92.91844374768021
2019-05-13,BTCUSDT,33.11821070775448,BTCUSDT,98.12342555291163,BTCUSDT,98.12342555291163
2019-05-14,BTCUSDT,44.729906864333664,BTCUSDT,100.31476938648467,BTCUSDT,100.31476938648467
2019-05-15,BTCUSDT,53.051262630383484,BTCUSDT,84.0965147449319,BTCUSDT,84.0965147449319
2019-05-16,BTCUSDT,47.421384465953416,BTCUSDT,89.49148377628296,BTCUSDT,89.49148377628296
2019-05-17,CASH,41.85605170195972,CASH,,BTCUSDT,
2019-05-18,CASH,40.35135639248487,CASH,,CASH,
2019-05-19,CASH,49.625517650579454,CASH,,CASH,
2019-05-20,CASH,45.66271096223064,CASH,,CASH,
2019-05-21,CASH,47.33844568488122,CASH,,CASH,
2019-05-22,CASH,41.23613281365361,CASH,,CASH,
2019-05-23,CASH,42.395708858058775,CASH,,CASH,
2019-05-24,CASH,46.10173110256411,CASH,,CASH,
2019-05-25,CASH,46.670323747676505,CASH,,CASH,
2019-05-26,CASH,51.56175546144891,CASH,,CASH,
2019-05-27,CASH,55.66324000432853,CASH,,CASH,
2019-05-28,CASH,56.19011193797521,CASH,,CASH,
2019-05-29,CASH,56.169940141511724,CASH,,CASH,
2019-05-30,CASH,49.19487059677026,CASH,,CASH,
2019-05-31,CASH,50.94992282056324,CASH,,CASH,
2019-06-01,CASH,51.62805018757205,CASH,,CASH,
2019-06-02,CASH,52.249434502851784,CASH,,CASH,
2019-06-03,CASH,41.97539166043147,CASH,,CASH,
2019-06-04,CASH,37.86516398817844,CASH,,CASH,
2019-06-05,CASH,38.5969736682491,CASH,,CASH,
2019-06-06,BTCUSDT,40.12330953726898,BTCUSDT,47.82679442905171,CASH,
2019-06-07,BTCUSDT,41.2671995611496,BTCUSDT,57.094650636162434,BTCUSDT,57.094650636162434
2019-06-08,BTCUSDT,38.01835255732631,BTCUSDT,37.62944844090279,BTCUSDT,37.62944844090279
2019-06-09,CASH,32.87528263895697,CASH,,BTCUSDT,
2019-06-10,BTCUSDT,37.19156574050755,BTCUSDT,42.659078102956904,CASH,
