date,model_index,btc_index,model_authorized_exposure_x,model_authorized_return_net,model_authorized_return_gross,model_transition_cost,model_asset_transition_day
2025-07-02,9.856984496393443,10.879259831171506,0.500286362082992,-0.006992209177681137,-0.006842123269056239,0.0,False
2025-07-03,10.00236720051649,11.205434424541897,0.496918799000872,0.014749206938109969,0.01489828257781023,0.0,False
2025-07-04,9.99505198961123,11.281116944616018,0.0,-0.0007313479657977721,0.0,0.0007313479657977721,True
2025-07-05,9.99505198961123,11.116352686843731,0.0,0.0,0.0,0.0,False
2025-07-06,9.99505198961123,11.138369363804816,0.0,0.0,0.0,0.0,False
2025-07-07,9.99505198961123,11.241903438336422,0.0,0.0,0.0,0.0,False
2025-07-08,9.99505198961123,11.145042207123739,0.0,0.0,0.0,0.0,False
2025-07-09,9.99505198961123,11.21299052913321,0.0,0.0,0.0,0.0,False
2025-07-10,9.99505198961123,11.450895614576899,0.0,0.0,0.0,0.0,False
2025-07-11,9.99505198961123,11.942558163475395,0.0,0.0,0.0,0.0,False
2025-07-12,9.99505198961123,12.098791435042207,0.0,0.0,0.0,0.0,False
2025-07-13,9.968404784408158,12.08770846201359,1.0,-0.002666039679510372,-0.000916039679510372,0.00145,True
2025-07-14,10.10714227231301,12.259280420012352,1.001754678041283,0.013917722133621226,0.014218825022632388,0.0,False
2025-07-15,10.178935000202546,12.3369538809965,1.25,0.007103167834710532,0.007919863393587856,0.00035956003526336057,True
2025-07-16,9.953292482447317,12.122511838583488,1.2490476681730014,-0.022167595897875276,-0.02171105895490247,0.0,False
2025-07-17,10.658253402595536,12.21231624459543,1.0,0.07082690691461356,0.0743968896395677,0.003269982724954141,True
2025-07-18,10.989770504380001,12.26863907761993,1.0033338560152925,0.031104261576641968,0.03140635704548444,0.0,False
2025-07-19,11.257548343487583,12.139678814082767,1.25,0.024366099273943807,0.02518062170681762,0.00035738690925985107,True
2025-07-20,11.430550430487461,12.130946057236978,1.2448485191091814,0.015367652149587116,0.015821549750612413,0.0,False
2025-07-21,12.076078587861735,12.071763434218653,1.2415897494773331,0.05647393459308208,0.056925783920217625,0.0,False
2025-07-22,12.092961024106785,12.083627753757463,1.2291032375518993,0.0013980064904529016,0.001842007519230389,0.0,False
2025-07-23,12.023939908779324,12.34861334156887,1.2292267780571675,-0.005707544677426099,-0.00526346599824068,0.0,False
2025-07-24,11.552683050118855,12.225241918879966,1.2309892381330017,-0.039193214722936076,-0.03874802826340319,0.0,False
2025-07-25,11.85825519050942,12.182518015235742,1.240875093867907,0.026450317996685794,0.02690171813268778,0.0,False
2025-07-26,11.924142690660616,12.107711550339715,1.235107817468364,0.005556255881887963,0.006004031041902474,0.0,False
2025-07-27,11.982579174530455,12.139179534692197,1.23425401736653,0.0049006863961470574,0.0053479249068573145,0.0,False
2025-07-28,12.494808625876916,12.29313979822936,1.2335566678921714,0.042747846176157935,0.04319464637336901,0.0,False
2025-07-29,12.20043889628756,12.153831583281862,1.22441040654986,-0.02355936280446206,-0.02311831141751152,0.0,False
