policy,group,key,log_growth,annual_cost_fraction,annual_turnover,event_count
aggressive_2__calmar,regime,up_normal_vol,0.6157024781118705,0.07228794073183896,32.10845424131964,5478
aggressive_2__calmar,regime,up_high_vol,-0.04826801559460414,0.0005823294939139348,0.32011857475811295,92
aggressive_2__calmar,regime,down_high_vol,-0.07364492676302258,0.0011340710217598987,0.6621077190325049,78
aggressive_2__calmar,regime,down_normal_vol,-0.06910644234927059,0.0190419684493363,6.807473677607204,1735
aggressive_2__calmar,asset,LTC,0.06457405997228112,0.00435548558943836,2.4454868222639057,113
aggressive_2__calmar,asset,DOGE,-0.03898498734885692,0.003702135385899588,1.8096648388547525,588
aggressive_2__calmar,asset,ADA,-0.1952662032650769,0.004324515915847514,2.358558008179111,191
aggressive_2__calmar,asset,LINK,-0.05679882763767965,0.007090789144020977,3.730319355948159,345
aggressive_2__calmar,asset,BNB,-0.34357512236651777,0.008582686010531403,3.752643658307974,706
aggressive_2__calmar,asset,BTC,0.1029799964995737,0.007455112244908442,3.4472453445528983,323
aggressive_2__calmar,asset,TRX,0.6963714213602894,0.023241744869805667,7.08496304673887,1902
aggressive_2__calmar,asset,XRP,0.029344910225130028,0.0077805805798314455,3.370483910119464,986
aggressive_2__calmar,asset,ETH,-0.05719098366387418,0.008326959952354735,3.8626197724497566,597
aggressive_2__calmar,asset,SOL,0.11455105366417911,0.010023016654656753,4.653897193753566,862
aggressive_2__calmar,asset,AVAX,0.12959777436272193,0.006450399889836741,2.6133160688452004,665
aggressive_2__calmar,asset,DOT,-0.020919998397196955,0.0017128834597173262,0.7689561927037895,105
aggressive_2__calmar,cost,fee,,0.017954169395722842,0.0,0
aggressive_2__calmar,cost,slippage,,0.03989815421271743,0.0,0
aggressive_2__calmar,cost,funding,,0.03519398608840868,0.0,0
aggressive_2__defensive,event,entry,-0.0816212508139786,0.014233002525630159,9.815863810779417,203
aggressive_2__defensive,event,funding,-0.1188005122180679,0.02072059321725393,0.0,1193
aggressive_2__defensive,event,mark,0.4834881135479789,0.0,0.0,4704
aggressive_2__defensive,event,rotation,-0.060191113716451,0.010496188498978128,7.238750688950429,153
aggressive_2__defensive,event,partial_tp,-0.0055832560161801735,0.0009737018931375819,0.6715185469914355,26
aggressive_2__defensive,event,stop,-0.014295749356908586,0.0024929519208537437,1.7192771867956849,47
aggressive_2__defensive,event,resize,-0.00573000911972494,0.0009993742525494867,0.6892236224479213,112
aggressive_2__defensive,event,boundary_exit,-0.0008074397906608088,0.00014081760818351804,0.09711559185070211,3
aggressive_2__defensive,regime,up_normal_vol,0.2212117316941167,0.035309426141762204,15.442404829804515,4482
aggressive_2__defensive,regime,up_high_vol,-0.014221050663502759,0.00019461367417412695,0.10737191128838514,93
aggressive_2__defensive,regime,down_high_vol,-0.02497656468152381,0.0003734315424194484,0.21732967278872412,76
aggressive_2__defensive,regime,down_normal_vol,0.014444666166917254,0.014179158558230735,4.464643033933951,1790
aggressive_2__defensive,asset,LTC,0.02204630700260343,0.0014573036025302313,0.8184155384398271,113
aggressive_2__defensive,asset,DOGE,0.007384507011507213,0.0017350567280956717,0.8441171363868142,417
aggressive_2__defensive,asset,ADA,-0.05309908870552136,0.0014309393745121674,0.7813363503434088,188
aggressive_2__defensive,asset,LINK,-0.0021221178842291905,0.002815798148370659,1.3871058648957653,344
aggressive_2__defensive,asset,BNB,-0.09737209965327343,0.005630545163964169,2.1789512512231077,711
aggressive_2__defensive,asset,BTC,0.05700803413563185,0.00413644418072787,1.9940225182176128,326
aggressive_2__defensive,asset,TRX,0.29655494236113294,0.01652819022265884,4.778218860137447,1722
aggressive_2__defensive,asset,XRP,-0.04942963081799528,0.0043769732111240255,1.9897441924661394,776
aggressive_2__defensive,asset,ETH,-0.00674968824097207,0.003912602685571512,1.7436842939394617,436
aggressive_2__defensive,asset,SOL,-0.021750299889922775,0.004621512318668591,2.1312048259319645,749
aggressive_2__defensive,asset,AVAX,0.0688019987645515,0.0028640659007713584,1.3321778194090406,567
